File,Bpp,D1_MSEF,D1_PSNR,D2_MSEF,D2_PSNR,Chamfer,Enc Time,Dec Time
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000001.bin,3.682265667,299.176,69.5544,91.4431,74.7021,0.014589927,0.732572317,0.181506872
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000002.bin,3.684024766,301.129,69.5261,92.6854,74.6435,0.014643009,0.358074665,0.179838657
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000003.bin,3.761373511,300.527,69.5348,92.3242,74.6605,0.014603729,0.354045868,0.179742336
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000004.bin,3.791466918,301.659,69.5185,93.6757,74.5974,0.014624755,0.351619959,0.179855824
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000005.bin,3.722792094,301.516,69.5205,93.3695,74.6116,0.014567192,0.350518703,0.182970524
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000006.bin,3.803078407,301.503,69.5207,94.8681,74.5424,0.014597086,0.350730419,0.179979086
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000007.bin,3.816225199,303.493,69.4921,95.8697,74.4968,0.014649445,0.350979805,0.18138361
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000008.bin,3.823005257,296.167,69.5983,94.4528,74.5615,0.014397291,0.349016666,0.180005312
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000009.bin,3.87267106,299.981,69.5427,96.1508,74.4841,0.014510684,0.353381157,0.179811239
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000010.bin,3.928765445,299.629,69.5478,94.4806,74.5602,0.014476688,0.352554321,0.182177305
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000011.bin,3.989905622,301.135,69.526,93.9567,74.5844,0.014514821,0.357309818,0.183960915
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000012.bin,3.974297024,301.434,69.5217,92.7762,74.6393,0.014491448,0.360388517,0.183021069
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000013.bin,3.970856402,301.741,69.5173,93.6754,74.5974,0.014496562,0.354804754,0.179903507
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000014.bin,3.95335819,301.13,69.5261,94.9892,74.5369,0.014447735,0.353129864,0.180262804
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000015.bin,3.984210363,299.687,69.547,93.8494,74.5893,0.014372215,0.361143351,0.181056023
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000016.bin,4.004909507,300.155,69.5402,95.0352,74.5348,0.014364191,0.365308762,0.180844069
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000017.bin,4.096608277,299.662,69.5473,94.177,74.5742,0.01432164,0.35974884,0.181325436
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000018.bin,4.184651499,300.319,69.5378,94.5927,74.5551,0.014327013,0.367708445,0.181873083
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000019.bin,4.160482958,301.677,69.5182,96.3434,74.4754,0.014332672,0.366252661,0.181437731
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000020.bin,4.215708325,300.475,69.5356,96.3229,74.4763,0.014220691,0.380079269,0.181642056
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000021.bin,4.323873509,301.203,69.5251,95.6068,74.5088,0.014172109,0.368195772,0.185233593
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000022.bin,4.440467207,299.718,69.5465,93.3532,74.6123,0.014060247,0.366194725,0.180459261
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000023.bin,4.577810294,300.411,69.5365,93.5836,74.6016,0.013995647,0.369272709,0.180608988
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000024.bin,4.580462239,301.576,69.5197,93.6379,74.5991,0.014022075,0.368796825,0.184469938
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000025.bin,4.528885062,298.766,69.5603,92.0276,74.6745,0.013955481,0.369144917,0.180009842
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000026.bin,4.564199873,302.71,69.5034,93.7966,74.5918,0.014113855,0.37664485,0.18145895
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000027.bin,4.711830476,302.266,69.5097,89.8619,74.7779,0.014170024,0.381402254,0.181649685
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000028.bin,4.714622291,301.604,69.5193,86.7553,74.9307,0.014242891,0.389583826,0.181944132
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000029.bin,4.688465836,299.184,69.5543,87.0446,74.9162,0.014303689,0.379188776,0.184868336
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000030.bin,4.651406203,298.78,69.5601,86.9893,74.919,0.014342032,0.37391901,0.180090904
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000031.bin,4.670451349,300.279,69.5384,86.6696,74.935,0.014430588,0.374574661,0.183510065
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000032.bin,4.686187592,300.554,69.5344,86.4799,74.9445,0.014467792,0.365758657,0.180219173
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000033.bin,4.667020513,299.391,69.5513,87.5733,74.8899,0.01443908,0.3645823,0.181293726
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000034.bin,4.692869245,299.317,69.5523,88.6875,74.835,0.014420016,0.361777782,0.180666924
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000035.bin,4.706211563,299.097,69.5555,88.948,74.8223,0.014380371,0.373626947,0.18231535
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000036.bin,4.773739447,299.533,69.5492,89.2718,74.8065,0.014384858,0.372984886,0.181872845
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000037.bin,4.787012307,300.076,69.5413,90.6344,74.7407,0.014363784,0.366217375,0.180359364
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000038.bin,4.776750774,299.145,69.5548,88.9204,74.8236,0.014358604,0.363267422,0.181744814
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000039.bin,4.843013914,298.944,69.5577,89.3078,74.8047,0.014327203,0.368028402,0.180585146
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000040.bin,4.846005533,301.505,69.5207,88.3522,74.8515,0.014414141,0.364661932,0.182432652
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000041.bin,4.949735926,301.846,69.5158,84.6242,75.0387,0.014409579,0.365503788,0.181438208
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000042.bin,4.983573286,299.002,69.5569,83.178,75.1136,0.014329435,0.368559837,0.182221174
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000043.bin,5.039974579,300.141,69.5404,80.9925,75.2292,0.014384634,0.369283915,0.182192087
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000044.bin,5.143397952,299.471,69.5501,78.1369,75.3851,0.01439688,0.382088423,0.182313442
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000045.bin,5.14706569,298.762,69.5604,77.9701,75.3944,0.014416025,0.376534939,0.183117867
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000046.bin,5.170475674,302.332,69.5088,78.1965,75.3818,0.014566795,0.370179176,0.184131861
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000047.bin,5.227922839,300.363,69.5372,77.7999,75.4038,0.014497347,0.385971308,0.181833982
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000048.bin,5.23829669,299.595,69.5483,76.5038,75.4768,0.01447771,0.373494625,0.181653261
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000049.bin,5.419914171,301.092,69.5266,75.0161,75.5621,0.014514307,0.380839109,0.189243793
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000050.bin,5.608321708,302.875,69.501,74.3642,75.6,0.014577363,0.376877069,0.18892622
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000051.bin,5.692828343,299.432,69.5507,74.1334,75.6135,0.014405406,0.381888866,0.182410717
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000052.bin,5.738307413,299.413,69.5509,76.414,75.4819,0.014428927,0.39371419,0.180716276
