File,Bpp,D1_MSEF,D1_PSNR,D2_MSEF,D2_PSNR,Chamfer
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000043.bin,3.793835399,532.886,67.0473,142.344,72.7802,0.018607659
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000044.bin,3.893108179,538.042,67.0055,141.285,72.8127,0.018808872
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000045.bin,3.852276345,534.924,67.0307,140.206,72.846,0.018813541
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000046.bin,3.87271433,532.016,67.0544,137.033,72.9454,0.018755019
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000047.bin,3.937333475,533.072,67.0458,138.172,72.9094,0.018810523
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000048.bin,3.971369357,535.057,67.0296,136.791,72.9531,0.018850829
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000049.bin,4.0850492,535.138,67.029,133.319,73.0647,0.018813505
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000050.bin,4.222805611,534.051,67.0378,132.206,73.1011,0.018800521
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000051.bin,4.306791909,530.9,67.0635,130.789,73.1479,0.018669143
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000052.bin,4.289273653,535.685,67.0245,135.707,72.9876,0.018746949
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000053.bin,4.271392313,535.839,67.0233,134.166,73.0372,0.018743767
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000054.bin,4.233492823,535.471,67.0263,139.983,72.8529,0.018554706
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000055.bin,4.172404621,536.342,67.0192,146.643,72.651,0.01841163
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000056.bin,4.242862137,531.44,67.0591,151.548,72.5081,0.018111373
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000057.bin,4.29874403,540.102,66.9889,159.453,72.2873,0.018090684
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000058.bin,4.248559458,532.365,67.0515,169.72,72.0163,0.017728179
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000059.bin,4.091898996,538.708,67.0001,179.801,71.7657,0.017750473
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000060.bin,3.978997703,533.311,67.0438,190.284,71.5196,0.017503455
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000061.bin,3.779865153,532.121,67.0535,196.164,71.3875,0.017359021
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000062.bin,3.64768218,532.001,67.0545,207.913,71.1348,0.017389599
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000063.bin,3.42782718,533.921,67.0389,214.03,71.0089,0.017465625
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000064.bin,3.306560284,531.856,67.0557,216.778,70.9535,0.017525105
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000065.bin,3.347772711,536.437,67.0184,210.255,71.0862,0.0178187
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000066.bin,3.363010674,541.284,66.9794,208.333,71.1261,0.018060798
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000067.bin,3.315851239,533.307,67.0439,203.765,71.2224,0.018003513
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000068.bin,3.309617028,532.957,67.0467,204.555,71.2055,0.018118902
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000069.bin,3.200820745,537.114,67.013,202.262,71.2545,0.01828624
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000070.bin,3.100656706,535.025,67.0299,196.443,71.3813,0.018275401
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000071.bin,3.253231171,530.82,67.0642,188.852,71.5524,0.01808068
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000072.bin,3.297909334,536.232,67.0201,184.338,71.6575,0.018044791
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000073.bin,3.368402849,539.773,66.9915,182.374,71.704,0.017975008
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000074.bin,3.289815067,536.559,67.0175,187.589,71.5816,0.017782675
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000075.bin,3.335784584,538.262,67.0037,193.451,71.4479,0.017665177
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000076.bin,3.377771876,536.433,67.0185,198.502,71.336,0.017576577
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000077.bin,3.406388642,536.685,67.0164,202.576,71.2478,0.017476515
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000078.bin,3.462181515,533.371,67.0434,201.128,71.2789,0.017246022
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000079.bin,3.496525028,534.077,67.0376,203.598,71.2259,0.01722793
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000080.bin,3.584587288,535.236,67.0282,202.072,71.2586,0.017122697
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000081.bin,3.710354388,532.089,67.0538,199.824,71.3072,0.017041714
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000082.bin,3.72275234,530.663,67.0655,193.059,71.4567,0.017010145
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000083.bin,3.785706039,534.713,67.0324,192.006,71.4805,0.017179251
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000084.bin,3.875046486,529.39,67.0759,191.152,71.4998,0.017169691
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000085.bin,3.847653363,535.517,67.0259,187.395,71.5861,0.017366873
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000086.bin,3.888412117,535.128,67.0291,181.88,71.7158,0.017462351
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000087.bin,3.982829799,536.501,67.0179,175.495,71.871,0.017653369
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000088.bin,3.934423199,535.585,67.0254,175.523,71.8703,0.017663678
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000089.bin,3.987376181,534.274,67.036,172.546,71.9446,0.017779169
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000090.bin,3.997285266,534.858,67.0312,168.683,72.0429,0.01787204
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000091.bin,4.032409421,535.312,67.0276,168.876,72.0379,0.01800651
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000092.bin,4.022642374,534.719,67.0324,171.234,71.9777,0.018093336
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000093.bin,3.95729731,531.93,67.0551,173.277,71.9262,0.018122687
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000094.bin,3.856476626,532.891,67.0473,170.623,71.9933,0.018242567
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000095.bin,3.825882039,533.037,67.0461,172.081,71.9563,0.018321713
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000096.bin,3.762565086,529.314,67.0765,170.716,71.9909,0.018314911
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000097.bin,3.80119732,537.178,67.0125,173.013,71.9328,0.018549294
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000098.bin,3.786870743,537.341,67.0111,175.792,71.8637,0.018638997
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000099.bin,3.776969493,533.259,67.0443,171.977,71.9589,0.018620972
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000100.bin,3.705382675,538.503,67.0018,170.4,71.9989,0.018789969
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000001.bin,4.307803354,529.997,67.0709,84.2216,75.0594,0.019361591
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000002.bin,4.288109773,534.654,67.0329,83.4388,75.1,0.01949514
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000003.bin,4.272360122,536.183,67.0205,83.2408,75.1103,0.019539396
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000004.bin,4.186630998,537.037,67.0136,80.2141,75.2711,0.019546137
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000005.bin,4.173366693,534.876,67.0311,77.1252,75.4417,0.019519022
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000006.bin,4.156353853,529.949,67.0713,73.6324,75.6429,0.019440364
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000007.bin,4.041517522,536.443,67.0184,72.4344,75.7142,0.019581182
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000008.bin,4.02917733,532.056,67.0541,67.8515,75.998,0.019493373
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000009.bin,3.938021347,533.369,67.0434,67.0119,76.0521,0.019547137
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000010.bin,3.941178453,534.948,67.0305,65.6914,76.1385,0.01961115
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000011.bin,4.000454866,534.541,67.0338,64.4109,76.224,0.019568568
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000012.bin,3.984290646,534.12,67.0372,63.9809,76.2531,0.019524442
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000013.bin,4.038611438,535.279,67.0278,63.5429,76.283,0.019573133
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000014.bin,4.086745665,535.536,67.0257,63.1751,76.3082,0.01952155
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000015.bin,4.066137174,532.888,67.0473,60.9745,76.4622,0.019481814
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000016.bin,4.109641521,533.888,67.0391,59.8776,76.541,0.019525235
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000017.bin,4.154098323,532.527,67.0502,60.9804,76.4617,0.019440323
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000018.bin,4.18489506,535.978,67.0222,61.7944,76.4041,0.019556551
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000019.bin,4.247262321,532.007,67.0545,61.1845,76.4472,0.019448557
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000020.bin,4.202510055,536.172,67.0206,60.9223,76.4659,0.019526602
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000021.bin,4.187276577,536.81,67.0154,60.6097,76.4882,0.019564381
