File,Bpp,D1_MSEF,D1_PSNR,D2_MSEF,D2_PSNR,Chamfer
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000001.bin,3.21719934,208.226,71.1283,63.306,76.2992,0.01230904
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000002.bin,3.187270063,208.302,71.1267,64.1785,76.2397,0.012290487
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000003.bin,3.198306084,208.529,71.122,63.8381,76.2628,0.012303094
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000004.bin,3.204579801,207.696,71.1394,64.5808,76.2126,0.012261077
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000005.bin,3.240350263,208.369,71.1253,64.9089,76.1906,0.012279608
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000006.bin,3.344452036,208.518,71.1222,65.782,76.1326,0.012268406
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000007.bin,3.341912733,207.145,71.1509,65.4915,76.1518,0.012212698
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000008.bin,3.383522439,209.063,71.1109,66.692,76.0729,0.012272946
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000009.bin,3.393458628,209.391,71.1041,66.0977,76.1118,0.012292579
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000010.bin,3.414438885,207.891,71.1353,65.5472,76.1481,0.012211828
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000011.bin,3.455888387,208.842,71.1155,65.2008,76.1711,0.012244208
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000012.bin,3.478003393,208.217,71.1285,64.0746,76.2468,0.012219349
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000013.bin,3.448165147,208.614,71.1202,64.941,76.1884,0.012209716
