File,Bpp,D1_MSEF,D1_PSNR,D2_MSEF,D2_PSNR,Chamfer
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000001.bin,6.389133072,8.84882,84.8448,2.70142,89.9977,0.002507097
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000002.bin,6.390173382,8.7932,84.8722,2.71787,89.9713,0.002497785
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000003.bin,6.37863428,8.79094,84.8733,2.71782,89.9714,0.002495591
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000004.bin,6.425813425,8.80176,84.8679,2.77497,89.8811,0.002500636
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000005.bin,6.398719039,8.7858,84.8758,2.7391,89.9376,0.002496432
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000006.bin,6.465297593,8.74781,84.8946,2.78355,89.8676,0.002491741
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000007.bin,6.540421134,8.78754,84.875,2.78401,89.8669,0.002501757
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000008.bin,6.644122841,8.83283,84.8526,2.83563,89.7871,0.002509301
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000009.bin,6.671222846,8.78126,84.8781,2.80606,89.8327,0.002500326
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000010.bin,6.739752885,8.79953,84.869,2.77771,89.8768,0.002501306
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000011.bin,6.833647928,8.77574,84.8808,2.73308,89.9471,0.002499189
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000012.bin,6.838636714,8.77489,84.8812,2.72047,89.9672,0.002495288
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000013.bin,6.792763496,8.7968,84.8704,2.74685,89.9253,0.002501215
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000014.bin,6.780041932,8.82294,84.8575,2.79342,89.8523,0.002503011
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000015.bin,6.888011687,8.81666,84.8606,2.76914,89.8902,0.002503144
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000016.bin,6.931142084,8.79866,84.8695,2.79681,89.847,0.002503799
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000017.bin,7.075732126,8.81841,84.8597,2.76297,89.8999,0.002503078
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000018.bin,7.069993607,8.79795,84.8698,2.755,89.9124,0.002498723
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000019.bin,7.078858005,8.8252,84.8564,2.82735,89.7998,0.002501807
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000020.bin,7.1968638,8.81475,84.8615,2.8268,89.8007,0.002503749
