File,Bpp,D1_MSEF,D1_PSNR,D2_MSEF,D2_PSNR,Chamfer
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000001.bin,3.470495814,133.366,73.0632,40.8531,78.2014,0.009938819
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000002.bin,3.489885243,133.798,73.0491,41.2779,78.1565,0.009943831
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000003.bin,3.492664023,134.632,73.0222,41.3805,78.1457,0.009979303
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000004.bin,3.520682166,134.404,73.0295,41.9079,78.0907,0.009974687
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000005.bin,3.489977483,133.842,73.0477,41.6287,78.1197,0.009935293
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000006.bin,3.520154322,133.76,73.0504,42.289,78.0514,0.00992605
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000007.bin,3.581946781,134.544,73.025,42.5386,78.0258,0.00996261
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000008.bin,3.652018593,133.776,73.0499,42.386,78.0414,0.009918804
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000009.bin,3.69571231,133.924,73.0451,42.6648,78.0129,0.009923221
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000010.bin,3.769386296,133.263,73.0665,42.11,78.0698,0.009881148
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000011.bin,3.812474354,134.038,73.0413,41.6892,78.1134,0.009913065
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000012.bin,3.804369506,134.895,73.0137,41.9066,78.0908,0.00995521
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000013.bin,3.73787227,133.993,73.0428,41.7415,78.108,0.009905107
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000014.bin,3.744647449,133.874,73.0467,41.8755,78.094,0.009890901
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000015.bin,3.791667962,134.279,73.0336,42.1031,78.0705,0.009897868
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000016.bin,3.865862284,134.261,73.0341,42.806,77.9986,0.009903301
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000017.bin,3.915911154,133.544,73.0574,41.6966,78.1126,0.009864168
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000018.bin,3.95762028,133.799,73.0491,42.2948,78.0508,0.009867453
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000019.bin,3.95002725,134.048,73.041,42.5474,78.0249,0.009871073
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000020.bin,4.022407433,133.526,73.058,42.6926,78.0101,0.009822894
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000021.bin,4.098017122,133.117,73.0713,41.9426,78.0871,0.009779135
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000022.bin,4.149854928,133.398,73.0622,41.7139,78.1108,0.009747848
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000023.bin,4.186262696,133.329,73.0644,41.739,78.1082,0.009701659
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000024.bin,4.156113068,134.743,73.0186,42.0008,78.0811,0.009750377
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000025.bin,4.129573827,133.366,73.0632,41.0927,78.176,0.009684776
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000026.bin,4.216854812,133.224,73.0678,41.6001,78.1227,0.009710405
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000027.bin,4.284016612,134.003,73.0425,40.0498,78.2876,0.009791153
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000028.bin,4.315836393,134.848,73.0152,39.0322,78.3994,0.009885868
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000029.bin,4.304345076,134.042,73.0412,38.7661,78.4291,0.009904927
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000030.bin,4.265477648,133.428,73.0612,38.6658,78.4404,0.009904694
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000031.bin,4.386370975,134.043,73.0412,38.587,78.4492,0.009931089
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000032.bin,4.405818818,133.673,73.0532,38.4545,78.4642,0.009916268
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000033.bin,4.411585334,133.733,73.0512,39.0099,78.4019,0.009917821
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000034.bin,4.412408225,134.015,73.0421,39.9334,78.3003,0.009930534
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000035.bin,4.340680568,133.798,73.0491,39.8184,78.3128,0.009910052
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000036.bin,4.397930327,133.339,73.0641,39.9737,78.2959,0.009887942
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000037.bin,4.497763813,133.651,73.0539,39.9329,78.3003,0.009877985
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000038.bin,4.487856056,134.131,73.0384,39.7964,78.3152,0.009896922
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000039.bin,4.526878446,133.591,73.0559,39.7632,78.3188,0.009861029
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000040.bin,4.576997234,133.904,73.0457,39.1003,78.3918,0.009869187
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000041.bin,4.649400409,133.061,73.0731,37.4906,78.5744,0.009838374
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000042.bin,4.66425657,133.224,73.0678,36.6232,78.6761,0.009842298
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000043.bin,4.673149031,133.177,73.0693,35.9112,78.7613,0.009841287
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000044.bin,4.751220238,134.104,73.0392,35.0548,78.8662,0.009902794
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000045.bin,4.80882946,134.355,73.0311,35.3457,78.8303,0.00993371
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000046.bin,4.756106631,133.678,73.053,34.6611,78.9152,0.009921321
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000047.bin,4.801278909,133.963,73.0438,34.7557,78.9034,0.009931309
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000048.bin,4.883447642,133.853,73.0474,34.5063,78.9347,0.009920158
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000049.bin,5.00047683,133.191,73.0689,33.1273,79.1118,0.009875491
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000050.bin,5.125188106,133.995,73.0427,33.0118,79.127,0.009909638
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000051.bin,5.24972915,133.738,73.0511,33.1658,79.1067,0.009885406
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000052.bin,5.240357357,133.037,73.0739,33.7244,79.0342,0.009837809
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000053.bin,5.139321972,133.89,73.0462,34.0379,78.994,0.009899035
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000054.bin,5.080578774,133.091,73.0722,35.1513,78.8542,0.009832492
