File,Bpp,D1_MSEF,D1_PSNR,D2_MSEF,D2_PSNR,Chamfer
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000001.bin,4.61589865,33.8892,79.013,10.3613,84.1595,0.005009768
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000002.bin,4.619866599,33.7291,79.0336,10.3348,84.1706,0.004990308
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000003.bin,4.59850384,33.7201,79.0347,10.3266,84.1741,0.004990493
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000004.bin,4.653382307,33.8558,79.0173,10.5992,84.0609,0.005002755
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000005.bin,4.634836127,33.7824,79.0267,10.5508,84.0808,0.004993547
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000006.bin,4.670417554,33.7735,79.0279,10.6194,84.0527,0.00499299
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000007.bin,4.765093326,33.7022,79.0371,10.6457,84.0419,0.004990752
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000008.bin,4.796476343,33.5975,79.0506,10.721,84.0113,0.00498665
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000009.bin,4.854853145,33.7054,79.0366,10.7895,83.9836,0.004991321
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000010.bin,4.92694782,33.6273,79.0467,10.656,84.0377,0.00498153
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000011.bin,4.988018055,33.6518,79.0435,10.4884,84.1065,0.004985178
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000012.bin,5.008255796,33.7917,79.0255,10.3962,84.1449,0.004995021
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000013.bin,4.983884578,33.8073,79.0235,10.47,84.1142,0.004998785
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000014.bin,4.951055018,33.7734,79.0279,10.5765,84.0702,0.004999676
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000015.bin,5.039505175,33.6989,79.0375,10.5324,84.0884,0.004988684
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000016.bin,5.102059497,33.7692,79.0284,10.6755,84.0298,0.004998188
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000017.bin,5.172862046,33.8121,79.0229,10.5702,84.0728,0.005000509
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000018.bin,5.205369775,33.8957,79.0122,10.6765,84.0294,0.005006516
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000019.bin,5.229279336,33.7632,79.0292,10.7552,83.9975,0.004997694
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000020.bin,5.291265095,33.7497,79.0309,10.8311,83.9669,0.00499584
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000021.bin,5.410191338,33.8431,79.0189,10.7426,84.0025,0.005001122
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000022.bin,5.436524216,33.8701,79.0155,10.5763,84.0703,0.005002049
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000023.bin,5.557324841,33.8538,79.0176,10.6243,84.0506,0.004995493
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000024.bin,5.55245296,33.9923,78.9998,10.6723,84.0311,0.004995406
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000025.bin,5.55049505,33.981,79.0013,10.5266,84.0908,0.004992404
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000026.bin,5.575102649,33.9417,79.0063,10.5497,84.0813,0.004996325
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000027.bin,5.723778085,33.7622,79.0293,10.1114,84.2655,0.004987201
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000028.bin,5.803833337,33.6435,79.0446,9.77821,84.411,0.004984306
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000029.bin,5.754137415,33.8122,79.0229,9.90918,84.3533,0.004999648
