File,Bpp,D1_MSEF,D1_PSNR,D2_MSEF,D2_PSNR,Chamfer
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000001.bin,3.035341381,299.176,69.5544,91.4431,74.7021,0.014589927
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000002.bin,3.043141008,301.129,69.5261,92.6854,74.6435,0.014643009
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000003.bin,3.092676009,300.527,69.5348,92.3242,74.6605,0.014603729
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000004.bin,3.120990422,301.659,69.5185,93.6757,74.5974,0.014624755
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000005.bin,3.067500625,301.516,69.5205,93.3695,74.6116,0.014567192
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000006.bin,3.135393642,301.503,69.5207,94.8681,74.5424,0.014597086
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000007.bin,3.148004783,303.493,69.4921,95.8697,74.4968,0.014649445
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000008.bin,3.147908336,296.167,69.5983,94.4528,74.5615,0.014397291
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000009.bin,3.19583435,299.981,69.5427,96.1508,74.4841,0.014510684
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000010.bin,3.244848361,299.629,69.5478,94.4806,74.5602,0.014476688
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000011.bin,3.288551498,301.135,69.526,93.9567,74.5844,0.014514821
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000012.bin,3.277314553,301.434,69.5217,92.7762,74.6393,0.014491448
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000013.bin,3.267293721,301.741,69.5173,93.6754,74.5974,0.014496562
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000014.bin,3.255094347,301.13,69.5261,94.9892,74.5369,0.014447735
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000015.bin,3.278525472,299.687,69.547,93.8494,74.5893,0.014372215
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000016.bin,3.295527356,300.155,69.5402,95.0352,74.5348,0.014364191
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000017.bin,3.369646639,299.662,69.5473,94.177,74.5742,0.01432164
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000018.bin,3.449315155,300.319,69.5378,94.5927,74.5551,0.014327013
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000019.bin,3.413574812,301.677,69.5182,96.3434,74.4754,0.014332672
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000020.bin,3.466131355,300.475,69.5356,96.3229,74.4763,0.014220691
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000021.bin,3.550182703,301.203,69.5251,95.6068,74.5088,0.014172109
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000022.bin,3.644556865,299.718,69.5465,93.3532,74.6123,0.014060247
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000023.bin,3.751506283,300.411,69.5365,93.5836,74.6016,0.013995647
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000024.bin,3.756851963,301.576,69.5197,93.6379,74.5991,0.014022075
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000025.bin,3.710460611,298.766,69.5603,92.0276,74.6745,0.013955481
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000026.bin,3.73005714,302.71,69.5034,93.7966,74.5918,0.014113855
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000027.bin,3.857906506,302.266,69.5097,89.8619,74.7779,0.014170024
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000028.bin,3.85023242,301.604,69.5193,86.7553,74.9307,0.014242891
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000029.bin,3.829148483,299.184,69.5543,87.0446,74.9162,0.014303689
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000030.bin,3.803518908,298.78,69.5601,86.9893,74.919,0.014342032
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000031.bin,3.806793679,300.279,69.5384,86.6696,74.935,0.014430588
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000032.bin,3.819691578,300.554,69.5344,86.4799,74.9445,0.014467792
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000033.bin,3.798724073,299.391,69.5513,87.5733,74.8899,0.01443908
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000034.bin,3.820110026,299.317,69.5523,88.6875,74.835,0.014420016
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000035.bin,3.840414313,299.097,69.5555,88.948,74.8223,0.014380371
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000036.bin,3.89073465,299.533,69.5492,89.2718,74.8065,0.014384858
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000037.bin,3.904184341,300.076,69.5413,90.6344,74.7407,0.014363784
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000038.bin,3.893531973,299.145,69.5548,88.9204,74.8236,0.014358604
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000039.bin,3.945938567,298.944,69.5577,89.3078,74.8047,0.014327203
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000040.bin,3.955067483,301.505,69.5207,88.3522,74.8515,0.014414141
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000041.bin,4.036113081,301.846,69.5158,84.6242,75.0387,0.014409579
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000042.bin,4.067651847,299.002,69.5569,83.178,75.1136,0.014329435
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000043.bin,4.102023091,300.141,69.5404,80.9925,75.2292,0.014384634
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000044.bin,4.192303193,299.471,69.5501,78.1369,75.3851,0.01439688
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000045.bin,4.188814603,298.762,69.5604,77.9701,75.3944,0.014416025
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000046.bin,4.213049437,302.332,69.5088,78.1965,75.3818,0.014566795
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000047.bin,4.248790366,300.363,69.5372,77.7999,75.4038,0.014497347
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000048.bin,4.26211995,299.595,69.5483,76.5038,75.4768,0.01447771
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000049.bin,4.400710911,301.092,69.5266,75.0161,75.5621,0.014514307
